Date,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE,AEO,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AKAM,ALL,ALTR,ALXN,AMAT,AMD,AMGN,AMP,AMT,AMZN,AN,ANF,ANN,AON,APA,APC,APD,APH,APOL,ARG,ARNA,ARO,ATI,ATVI,AVB,AVP,AVY,AXP,AZO,BA,BAC,BAX,BBBY
2002-06-27,23.2099473495,25.0701790218,1.1217021618,,17.5168777625,27.2329676644,22.4068974537,97.2952770645,18.0057491151,13.9181765163,22.7615797885,9.93846145121,31.9272712673,6.49730243061,,21.2172337996,4.86260857819,21.2331832923,4.5772623114,11.3932919345,24.43424537,24.72,347.572751108,17.7211246936,,1.12,26.4012793394,12.9557600994,3.5975,16.3049009952,9.05,37.8566835423,,3.2697177712,15.86,14.75,19.8461815636,16.8,23.2393255355,25.2593234565,22.5138913968,36.1629392734,4.51312104169,39.64,14.8631789039,7.65,7.80740740741,12.2443330101,3.33363506693,26.721775388,19.5646862113,42.6723204035,30.6479999467,77.75,33.1505526103,25.3807430945,34.5040759783,37.69
2002-06-28,22.6543646231,25.9873806933,1.16509743887,,17.0502396254,26.1895589416,23.6019319845,98.2033663171,18.1779613809,14.2225898427,22.5189513563,9.9306970282,32.0007517535,6.5666862857,,21.4971313479,4.86490986005,21.4583837211,4.98167906181,11.1492495736,24.8852912744,25.27,354.482642872,17.9731876917,,1.3,26.1397405615,12.3821740936,3.7875,15.5370349163,9.72,38.2125308931,,3.22300751732,16.25,14.5,19.7560833394,16.9266666667,23.3820927231,25.3874088526,22.6748691698,36.6863024146,4.32567511983,39.42,14.7017149821,8.4,8.10962962963,12.4092662964,3.34053224293,26.721775388,19.6966507551,42.543503421,30.019831663,77.3,33.2985461487,26.0319108473,34.0067888523,37.74
2002-07-01,22.1562559717,25.8697907354,1.1217021618,,16.1057460883,25.9460969063,22.5936215991,96.1709760851,16.0253080594,13.4740324826,21.2224056722,9.86081722112,31.016113238,6.05621935179,,21.2272301406,4.69921756586,21.2278213773,4.23718458947,10.8099144813,23.9598695051,24.14,348.715740723,17.8635950839,,1.4,26.2599070271,11.5809745934,3.615,14.728324897,9.14,35.0007804455,,2.87735163865,13.55,13.95,19.0844420318,16.8933333333,23.0013802228,25.2195728163,22.4816958422,36.7880674698,4.17547806706,39.05,14.2258213179,7.72,7.8962962963,12.0558378259,3.18534578292,26.4070649712,19.640094522,42.4485856445,30.6727960632,76.55,33.0025590718,25.621231185,32.7520951803,37.02
2002-07-02,21.0259324937,25.2896802765,1.11381211142,,15.8096103474,25.5843818824,21.7720353591,93.6196777087,16.1688182809,13.1795999209,20.3959525753,9.66670664591,29.8330774097,5.97940151223,,20.9323380807,4.62097398249,20.6326488153,3.67651591277,10.6751101295,23.6410267106,22.45,339.883548244,17.7686148237,,1.27,25.9418193242,11.599183673,3.25,13.8624333612,8.8,33.7142554083,,2.43827525223,13.32,13.31,19.3793089474,16.6533333333,22.1447770973,25.0296530911,21.8883777645,35.6032314695,4.0312888964,38.19,13.7669238561,7.36,7.63555555556,11.7416791855,3.01751450024,26.2296827363,19.0368280364,41.2688932787,30.5074886201,74.2,32.9581610103,25.7100267877,32.017640348,35.6
2002-07-03,22.0317288089,25.4386275565,1.1539198675,,15.6189168779,25.8069757433,22.1380146842,91.1981063685,16.7428591666,13.4939940122,21.6470054284,9.34060087954,29.9065578959,6.23247161772,,20.757402113,4.67160218349,20.498600941,3.65813333321,10.5170636482,23.423280412,20.89,340.195272684,17.4727147824,,1.3,25.7014863931,12.3002332356,3.01,14.6956497447,8.43,32.6923348113,,2.43827525223,14.25,13.25,19.5595053957,16.3933333333,22.2082291807,25.0605702557,21.9849644283,35.5305421444,4.05051411915,38.38,13.5969618331,7.0,7.55555555556,11.4432284771,3.02900979357,26.1209645923,18.9501084791,41.3773707376,29.9773557741,73.68,32.3883858873,25.45473943,31.4438475102,36.32
2002-07-05,22.9417349988,26.1676852954,1.23216286706,,16.1416413296,26.0643498949,22.8699733344,94.3547975799,17.1255530904,14.2874648139,23.3454044533,9.49588933971,31.6113051765,6.44584445177,,21.1322649009,4.88562139682,20.8471254142,3.80519396972,10.7541333702,24.2398290319,20.3,351.936893274,17.5640419557,,1.41,26.1468091771,13.4747188665,3.215,16.280394631,9.34,34.7361760052,,2.55037986153,15.21,14.19,20.7717360484,17.2333333333,22.8030924623,25.5066607731,22.6380742502,37.3259684761,4.22354112395,39.11,13.8519048675,6.94,7.86666666667,11.9380283357,3.13016837492,26.1495746302,19.4741962385,42.543503421,30.9382215575,77.1,33.2985461487,26.2021024191,33.0810697407,37.7
2002-07-08,22.0317288089,25.4778242091,1.18416506061,,15.8836442826,25.7374151617,22.4442422828,91.7170145128,16.8098306032,13.7984073386,21.760737506,9.5735335698,31.0087651894,6.30690400169,,21.0972777074,4.74064063941,20.7666966896,3.72247236168,10.9330977682,24.1931691108,18.9,351.729076981,17.3156320445,,1.22,26.0337113272,12.6553102868,3.055,15.5206973401,9.05,33.039057871,,2.63445831851,14.94,13.74,20.7881175437,17.3933333333,22.7396403789,25.0914874203,21.9803650634,36.8752946601,4.16947018495,38.45,14.1068479019,6.68,8.14814814815,11.6945553894,2.9922248549,25.8920842892,19.2517417219,41.7163627967,30.6483051573,75.28,32.6325752258,26.6164818982,32.7061917533,36.48
2002-07-09,21.6964633705,25.0545003607,1.1526048591,,14.0843953116,24.6314019156,22.2201733082,91.5872874767,15.881797838,13.5838208954,21.0025236556,9.41824510963,29.6567242427,6.28209320704,,20.3425539609,4.60946757317,19.8122758245,3.47430753757,10.3799350835,23.7965597811,19.6,340.558951198,17.132977698,,1.25,25.9206134773,12.1818742185,2.8825,14.4750924667,8.98,31.8711486174,,2.44761730301,15.6,13.7,21.5089033372,17.82,21.7719961075,24.4157265374,21.6906050719,35.9594091629,4.09136771751,38.24,14.4212776443,7.25,8.20148148148,11.5610379672,2.9094587429,25.7490340997,18.9161747393,40.7468455076,29.952505797,73.65,31.9814036566,25.987513046,31.4744497949,35.28
2002-07-10,21.1600386691,23.8315647987,1.13879727095,,14.1270209107,23.5810371347,20.7637249737,87.3927799766,14.5902058452,13.2594460393,19.9410242651,9.29401434149,29.281973763,6.25728241238,,19.5078594864,4.44377527898,18.911474109,3.60298559452,10.2544275836,23.0655543499,19.5,324.193418074,16.822465309,,1.17,25.2703008403,11.881424406,2.8275,13.617369719,9.01,29.6813187668,,2.41024909991,14.96,13.54,20.4850598805,17.3333333333,20.3443242316,24.0182201358,21.4100438104,34.4620090643,3.96039588749,38.31,13.7669238561,6.92,7.48148148148,11.1055079386,2.98992579624,25.4057136451,18.6786385606,39.9400444069,28.8508234765,72.11,30.1906818415,25.1957522556,30.1968044094,32.66
2002-07-11,22.5585744978,23.8002074766,1.20323268235,,13.2363702355,22.1793914171,21.8691319148,84.3658158013,14.877226288,12.8552250649,21.0176879326,9.20084126538,29.7449008262,6.27216888917,,20.007676537,4.22285222005,19.8605330592,3.2537165828,10.3799350835,23.5632601754,20.01,329.960320222,16.6251986148,,1.34,25.0441051405,12.7190420652,2.7825,14.8917006585,9.33,31.3966854831,,2.04590911969,15.55,12.85,20.9683139921,16.9666666667,19.2101182413,23.5721296184,20.8995143017,33.9749905857,3.92915490051,37.89,13.5119808217,7.28,6.96296296296,10.9876984485,3.04625273358,25.1196132662,18.5315923547,38.9840868001,29.0164899908,69.7,30.4644698876,25.5842330172,30.5946341103,33.38
